Level 1,Level 2,Level 3,Level 1 Description,Level 2 Description,Level 3 Description,Level 2 InputType,Level 2 OutputType,Level 3 InputType,Level 3 OutputType
3D analysis,3D collection,,"Involves modeling, computation, and analysis of three-dimensional spatial data, used to represent and study terrain, features, and spatial phenomena in 3D.","Involves operations that manipulate or combine 3D spatial objects, including union, intersection, and difference of volumetric or surface data.",,3D,,3D,
3D analysis,3D Interpolation,,"Involves modeling, computation, and analysis of three-dimensional spatial data, used to represent and study terrain, features, and spatial phenomena in 4D.","Focuses on estimating values at unsampled 3D locations based on known data points, often used for creating continuous 3D surfaces or volumes.",,Vector,Raster,Vector,Raster
3D analysis,3D Raster calculation,,"Involves modeling, computation, and analysis of three-dimensional spatial data, used to represent and study terrain, features, and spatial phenomena in 5D.","Involves performing cell-based calculations on 3D raster datasets, supporting algebraic, logical, or conditional operations in volumetric grids.",,Raster,Raster,Raster,Raster
3D analysis,3D Reclassification,,"Involves modeling, computation, and analysis of three-dimensional spatial data, used to represent and study terrain, features, and spatial phenomena in 6D.","Involves reassigning values of 3D raster datasets into new categories or ranges, often for simplification or thematic mapping.",,Raster,Raster,Raster,Raster
3D analysis,3D Surface analysis,,"Involves modeling, computation, and analysis of three-dimensional spatial data, used to represent and study terrain, features, and spatial phenomena in 7D.","Involves analyzing geometric and spatial properties of 3D surfaces, including slope, aspect, curvature, and other terrain-related metrics.",,3D,Raster,3D,Raster
3D analysis,Visibility analysis,,"Involves modeling, computation, and analysis of three-dimensional spatial data, used to represent and study terrain, features, and spatial phenomena in 8D.","Involves evaluating visibility, line-of-sight, and occlusion in 3D space, supporting applications such as terrain analysis and spatial planning.",,3D,Raster,3D,Raster
Data Management and Organization,Cache management,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves handling temporary data storage to improve efficiency in spatial data processing, including creation, update, and cleanup of cache files.",,Mixed,Mixed,Mixed,Mixed
Data Management and Organization,Data export,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves converting and saving spatial datasets into external formats for sharing, backup, or further use in other systems.",,Mixed,Mixed,Mixed,Mixed
Data Management and Organization,Data import,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves loading and converting external datasets into the GIS environment, supporting various file formats and structures.",,Mixed,Mixed,Mixed,Mixed
Data Management and Organization,Data management,3D data management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 3D, and multidimensional data, ensuring consistency and usability.","Involves organizing and maintaining 3D datasets, including surfaces, volumes, and point clouds, to support spatial analysis.",3D,3D,3D,3D
Data Management and Organization,Data management,Database management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 4D, and multidimensional data, ensuring consistency and usability.","Involves operations for creating, maintaining, and querying spatial databases, ensuring data consistency and accessibility.",Table,Table,Table,Table
Data Management and Organization,Data management,Dimensional data management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 5D, and multidimensional data, ensuring consistency and usability.","Involves organizing and handling data across multiple dimensions (e.g., time, scale, or attributes), supporting complex spatiotemporal analysis.",Table,Table,Table,Table
Data Management and Organization,Data management,General management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 6D, and multidimensional data, ensuring consistency and usability.","Involves basic tasks for handling spatial datasets, such as renaming, copying, deleting, and general housekeeping.",Mixed,Mixed,Mixed,Mixed
Data Management and Organization,Data management,GIS elements management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 7D, and multidimensional data, ensuring consistency and usability.","Involves managing fundamental GIS elements such as layers, fields, features, and attribute tables to maintain data integrity.",Vector,Vector,Vector,Vector
Data Management and Organization,Data management,Parcel data management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 8D, and multidimensional data, ensuring consistency and usability.","Involves handling cadastral and parcel-related datasets, supporting land ownership, usage, and boundary analysis.",Vector,Vector,Vector,Vector
Data Management and Organization,Data management,Raster data management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 9D, and multidimensional data, ensuring consistency and usability.","Involves organizing and maintaining raster datasets, including storage, compression, tiling, and indexing.",Raster,Raster,Raster,Raster
Data Management and Organization,Data management,Vector data management,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Focuses on structured management of spatial datasets, including vector, raster, 10D, and multidimensional data, ensuring consistency and usability.","Involves organizing and maintaining vector datasets, including topology consistency, attribute structure, and layer management.",Vector,Vector,Vector,Vector
Data Management and Organization,Format conversion,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves transforming spatial data between different file formats, ensuring compatibility across software and systems.",,Mixed,Mixed,Mixed,Mixed
Data Management and Organization,Index management,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.",Involves creating or modifying spatial and attribute indexes to optimize data retrieval and query performance.,,Table,Table,Table,Table
Data Management and Organization,Metadata editing,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves creating, updating, and maintaining metadata to describe spatial datasets, supporting data discovery and quality assessment.",,Mixed,Mixed,Mixed,Mixed
Data Management and Organization,Schematic diagrams,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves creating and managing schematic representations of spatial data, emphasizing logical connections over precise geometry.",,Vector,Vector,Vector,Vector
