"Level1","Level2","Level3","Level2/3 Description"
"3D analysis","3D collection","","Involves operations that manipulate or combine 3D spatial objects, including union, intersection, and difference of volumetric or surface data."
"3D analysis","3D Interpolation","","Focuses on estimating values at unsampled 3D locations based on known data points, often used for creating continuous 3D surfaces or volumes."
"3D analysis","3D Raster calculation","","Involves performing cell-based calculations on 3D raster datasets, supporting algebraic, logical, or conditional operations in volumetric grids."
"3D analysis","3D Reclassification","","Involves reassigning values of 3D raster datasets into new categories or ranges, often for simplification or thematic mapping."
"3D analysis","3D Surface analysis","","Involves analyzing geometric and spatial properties of 3D surfaces, including slope, aspect, curvature, and other terrain-related metrics."
"3D analysis","Visibility analysis","","Involves evaluating visibility, line-of-sight, and occlusion in 3D space, supporting applications such as terrain analysis and spatial planning."
"Data Management and Organization","Cache management","","Involves handling temporary data storage to improve efficiency in spatial data processing, including creation, update, and cleanup of cache files."
"Data Management and Organization","Data export","","Involves converting and saving spatial datasets into external formats for sharing, backup, or further use in other systems."
"Data Management and Organization","Data import","","Involves loading and converting external datasets into the GIS environment, supporting various file formats and structures."
"Data Management and Organization","Data management","3D data management","Involves organizing and maintaining 3D datasets, including surfaces, volumes, and point clouds, to support spatial analysis."
"Data Management and Organization","Data management","Database management","Involves operations for creating, maintaining, and querying spatial databases, ensuring data consistency and accessibility."
"Data Management and Organization","Data management","Dimensional data management","Involves organizing and handling data across multiple dimensions (e.g., time, scale, or attributes), supporting complex spatiotemporal analysis."
"Data Management and Organization","Data management","General management","Involves basic tasks for handling spatial datasets, such as renaming, copying, deleting, and general housekeeping."
"Data Management and Organization","Data management","GIS elements management","Involves managing fundamental GIS elements such as layers, fields, features, and attribute tables to maintain data integrity."
"Data Management and Organization","Data management","Parcel data management","Involves handling cadastral and parcel-related datasets, supporting land ownership, usage, and boundary analysis."
"Data Management and Organization","Data management","Raster data management","Involves organizing and maintaining raster datasets, including storage, compression, tiling, and indexing."
"Data Management and Organization","Data management","Vector data management","Involves organizing and maintaining vector datasets, including topology consistency, attribute structure, and layer management."
